route_number,route_code,route_name,fare_min_php,fare_max_php,stop_count,stops_with_coordinates,map_polyline_count,map_point_count,map_marker_count
1,ROUTE 1,"BO. OBRERO, LAPUZ TO CITY PROPER LOOP",,,10,10,1,321,10
2,ROUTE 2,VILLA PLAZA TO CITY PROPER VIA CALUMPANG,,,17,17,2,525,17
3,ROUTE 3,UNGKA TO CITY PROPER VIA CPU LOOP,,,16,16,2,643,16
4,ROUTE 4,UNGKA TO CITY PROPER VIA B. AQUINO AVE./ FESTIVE WALK LOOP,,,9,9,1,374,9
5,ROUTE 5,FESTIVE WALK TO CITY PROPER VIA B. AQUINO AVE. AND SM CITY,,,15,15,2,557,15
6,ROUTE 6,LANIT TO SM CITY VIA INFANTE,,,42,0,0,0,0
7,ROUTE 7,COMPANIA TO CITY PROPER LOOP,,,7,7,1,217,7
8,ROUTE 8,PAROLA TO SM CITY VIA INFANTE LOOP,,,23,0,0,0,0
9,ROUTE 9,MOHON TO CITY PROPER LOOP,,,12,12,2,401,12
10,ROUTE 10,BUNTATALA / TAGBAK TERMINAL TO CITY PROPER LOOP,,,39,0,0,0,0
11,ROUTE 11,"TICUD, LA PAZ TO CITY PROPER LOOP",,,14,14,2,374,14
12,ROUTE 12,MANDURRIAO TO CITY PROPER VIA FESTIVE WALK / B. AQUINO AVE.,,,33,0,0,0,0
13,ROUTE 13,HIBAO-AN TO CITY PROPER VIA TABUCAN HUB LOOP,,,25,0,0,0,0
14,ROUTE 14,HIBAO-AN TO JARO VIA B. AQUINO AVE. / FESTIVE LOOP,,,22,0,0,0,0
15,ROUTE 15,MOLO TO CITY PROPER VIA BALUARTE LOOP,,,15,15,2,397,15
16,ROUTE 16,BITO-ON TO JARO VIA BALABAGO LOOP,,,14,0,0,0,0
17,ROUTE 17,VILLA BAYBAY TO CITY PROPER VIA BONIFACIO,,,28,0,0,0,0
18,ROUTE 18,TAGBAK TO CITY PROPER VIA COASTAL LOOP,,,26,0,0,0,0
19,ROUTE 19,BITO-ON TO CITY PROPER VIA LA PAZ LOOP,,,22,0,0,0,0
20,ROUTE 20,MOHON TO JARO VIA SO OC / FESTIVE WALK / ISATU,,,30,0,0,0,0
21,ROUTE 21,TAGBAK / BUNTATALA TO FESTIVE WALK VIA SM CITY / ATRIA,,,24,0,0,0,0
22,ROUTE 22,UNGKA TO LA PAZ VIA CPU – ISATU LOOP,,,17,0,0,0,0
23,ROUTE 23,MOHON TO MANDURRIAO BUSINESS DISTRICT,,,23,0,0,0,0
24,ROUTE 24,LA PAZ TO FESTIVE WALK VIA NABITASAN LOOP,,,31,0,0,0,0
25,ROUTE 25,MOLO TO CITY PROPER VIA GENERAL LUNA LOOP,,,10,10,1,351,10
